First Time Buyer Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa And Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne County,Ventura,Yolo,Yuba,,,,,,
2011.4,67%,83%,61%,NA,NA,NA,61%,NA,NA,83%,NA,NA,NA,84%,NA,NA,67%,87%,51%,NA,NA,87%,NA,76%,72%,NA,62%,79%,NA,81%,83%,NA,88%,67%,47%,NA,63%,54%,57%,64%,59%,NA,NA,88%,66%,NA,NA,NA,85%,NA,71%,NA,NA,,,,,,
2012.1,73%,83%,65%,NA,NA,NA,60%,NA,NA,84%,NA,NA,NA,87%,NA,NA,68%,88%,53%,NA,NA,87%,NA,74%,71%,NA,62%,82%,NA,80%,86%,NA,88%,67%,50%,NA,62%,57%,64%,65%,57%,NA,NA,88%,72%,NA,NA,NA,86%,NA,71%,NA,NA,,,,,,
2012.2,66%,81%,60%,NA,NA,NA,50%,NA,NA,83%,NA,NA,NA,86%,NA,NA,67%,86%,47%,NA,NA,87%,NA,74%,70%,NA,58%,81%,NA,79%,85%,NA,88%,65%,43%,NA,62%,46%,53%,56%,56%,NA,NA,88%,70%,NA,NA,NA,85%,NA,69%,NA,NA,,,,,,
2012.3,67%,81%,56%,NA,NA,NA,52%,NA,NA,82%,NA,NA,NA,86%,NA,NA,61%,87%,47%,NA,NA,85%,NA,72%,67%,NA,57%,80%,NA,78%,84%,NA,87%,64%,45%,NA,58%,46%,52%,56%,51%,NA,NA,87%,68%,NA,NA,NA,84%,NA,68%,NA,NA,,,,,,
2012.4,66%,82%,57%,NA,NA,NA,54%,NA,NA,82%,NA,NA,NA,87%,NA,NA,62%,86%,47%,NA,NA,85%,NA,70%,68%,NA,57%,79%,NA,77%,83%,NA,86%,63%,41%,NA,60%,47%,48%,55%,55%,NA,NA,85%,67%,NA,NA,NA,83%,NA,68%,NA,NA,,,,,,
2013.1,62%,79%,52%,NA,NA,NA,48%,NA,NA,78%,NA,NA,NA,84%,NA,NA,60%,87%,43%,NA,NA,81%,NA,63%,59%,NA,49%,74%,NA,71%,77%,NA,84%,57%,41%,NA,54%,43%,43%,51%,49%,NA,NA,80%,57%,NA,NA,NA,83%,NA,62%,NA,NA,,,,,,
2013.2,56%,75%,45%,NA,NA,NA,44%,NA,NA,75%,NA,NA,NA,84%,NA,NA,56%,84%,37%,NA,NA,79%,NA,57%,55%,NA,45%,69%,NA,67%,73%,NA,82%,53%,34%,NA,51%,36%,37%,45%,41%,NA,NA,78%,51%,NA,NA,NA,80%,NA,57%,NA,NA,,,,,,
2013.3,54%,74%,44%,NA,NA,NA,45%,NA,NA,73%,NA,NA,NA,73%,NA,NA,49%,80%,37%,NA,NA,76%,NA,54%,52%,NA,44%,68%,NA,66%,71%,NA,80%,51%,36%,NA,47%,36%,38%,45%,40%,NA,NA,76%,56%,NA,NA,NA,79%,NA,55%,NA,NA,,,,,,
2013.4,54%,76%,46%,NA,NA,NA,48%,NA,NA,73%,NA,NA,NA,81%,NA,NA,52%,83%,39%,NA,NA,77%,NA,53%,54%,NA,44%,68%,NA,64%,71%,NA,79%,52%,35%,NA,49%,38%,39%,47%,39%,NA,NA,76%,54%,NA,NA,NA,79%,NA,56%,NA,NA,,,,,,
2014.1,56%,78%,46%,NA,NA,NA,48%,NA,NA,73%,NA,NA,NA,81%,NA,NA,53%,80%,31%,NA,78%,78%,NA,48%,52%,NA,45%,67%,NA,64%,71%,NA,78%,51%,34%,66%,48%,34%,40%,46%,43%,NA,NA,73%,53%,69%,NA,NA,78%,NA,55%,NA,NA,,,,,,
2014.2,53%,75%,40%,NA,NA,NA,43%,NA,NA,72%,NA,NA,NA,81%,NA,NA,52%,71%,30%,NA,77%,77%,NA,50%,48%,NA,44%,66%,NA,63%,69%,NA,76%,50%,25%,64%,47%,33%,39%,42%,40%,NA,NA,72%,53%,68%,NA,NA,77%,NA,54%,NA,NA,,,,,,
2014.3,52%,75%,44%,NA,NA,NA,43%,NA,NA,71%,NA,NA,NA,80%,NA,NA,47%,71%,29%,NA,76%,76%,NA,50%,44%,NA,44%,66%,NA,63%,69%,NA,75%,49%,29%,63%,48%,34%,35%,44%,39%,NA,NA,71%,53%,67%,NA,NA,76%,NA,52%,NA,NA,,,,,,
2014.4,53%,76%,42%,NA,NA,NA,46%,NA,NA,71%,NA,NA,NA,78%,NA,NA,50%,76%,31%,NA,75%,75%,NA,51%,47%,NA,45%,66%,NA,63%,68%,NA,75%,51%,33%,64%,49%,35%,42%,44%,38%,NA,NA,71%,53%,67%,NA,NA,76%,NA,54%,NA,NA,,,,,,
2015.1,55%,77%,46%,70%,63%,NA,63%,NA,66%,69%,NA,62%,74%,79%,59%,NA,52%,69%,38%,67%,77%,77%,NA,53%,53%,NA,45%,67%,NA,63%,68%,55%,75%,51%,27%,53%,68%,29%,37%,44%,43%,70%,71%,69%,54%,69%,70%,76%,75%,NA,52%,57%,73%,,,,,,
2015.2,51%,74%,41%,NA,NA,NA,55%,NA,NA,68%,NA,NA,72%,79%,NA,NA,50%,69%,34%,NA,73%,73%,NA,51%,47%,NA,43%,65%,NA,61%,66%,NA,73%,47%,22%,59%,51%,26%,35%,40%,41%,NA,NA,68%,50%,64%,NA,NA,72%,NA,49%,NA,NA,,,,,,
2015.3,51%,74%,41%,69%,63%,NA,56%,NA,65%,67%,NA,62%,71%,78%,61%,NA,45%,68%,37%,52%,73%,73%,NA,51%,47%,NA,43%,65%,NA,61%,66%,58%,72%,46%,25%,50%,64%,27%,38%,40%,41%,71%,71%,67%,49%,67%,72%,76%,72%,NA,49%,55%,72%,,,,,,
2015.4,51%,75%,43%,70%,63%,NA,59%,NA,66%,67%,NA,62%,73%,78%,59%,NA,47%,68%,33%,51%,73%,73%,NA,49%,44%,NA,43%,65%,NA,60%,66%,55%,72%,47%,24%,49%,65%,29%,41%,41%,42%,70%,71%,67%,50%,66%,70%,76%,72%,NA,49%,57%,73%,,,,,,
2016.1,53%,75%,46%,67%,60%,NA,59%,NA,58%,69%,NA,61%,72%,75%,63%,NA,50%,70%,36%,49%,73%,73%,NA,48%,45%,NA,44%,67%,NA,62%,66%,57%,73%,49%,25%,47%,65%,31%,39%,41%,38%,68%,72%,67%,48%,68%,74%,77%,69%,NA,52%,57%,67%,,,,,,
2016.2,50%,73%,42%,68%,61%,NA,55%,NA,57%,65%,NA,61%,71%,72%,60%,NA,49%,71%,33%,52%,70%,70%,NA,46%,47%,NA,43%,66%,NA,61%,64%,57%,73%,48%,24%,47%,64%,27%,37%,37%,36%,66%,71%,65%,46%,66%,72%,76%,67%,NA,54%,54%,66%,,,,,,
2016.3,50%,73%,44%,70%,61%,NA,57%,NA,58%,67%,NA,58%,72%,75%,62%,NA,44%,67%,34%,66%,52%,70%,NA,46%,47%,NA,43%,66%,NA,61%,64%,55%,72%,48%,26%,63%,47%,29%,38%,41%,36%,66%,67%,65%,47%,67%,70%,75%,67%,NA,54%,54%,64%,,,,,,
2016.4,50%,73%,43%,67%,58%,NA,58%,NA,57%,66%,NA,58%,71%,73%,60%,NA,46%,68%,35%,66%,50%,66%,NA,48%,47%,NA,42%,65%,NA,60%,64%,56%,71%,46%,25%,62%,46%,28%,40%,40%,35%,64%,69%,64%,45%,65%,70%,76%,66%,NA,54%,55%,63%,,,,,,
2017.1,51%,73%,41%,64%,59%,NA,57%,NA,62%,66%,NA,55%,72%,71%,60%,NA,48%,67%,32%,64%,45%,70%,NA,43%,46%,NA,42%,64%,NA,60%,65%,54%,70%,48%,25%,63%,47%,29%,31%,37%,35%,68%,65%,65%,46%,66%,72%,73%,70%,65%,51%,55%,64%,,,,,,
